YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,TE6,7870,2769
2025-11,WEEKDAY,20,TRAIN,NS24/NE6/CC1,57166,23100
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,NS16,21079,20914
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,CC23,284,283
2025-11,WEEKDAY,18,TRAIN,NS13,64024,184096
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,EW23,27126,20599
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,NS13,28614,26982
2025-11,WEEKDAY,15,TRAIN,PW4,3476,4478
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,SE1,2051,2144
2025-11,WEEKDAY,19,TRAIN,DT20,10166,10782
2025-11,WEEKDAY,10,TRAIN,BP9,2950,1968
2025-11,WEEKDAY,13,TRAIN,DT20,4498,7797
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,PE1,431,2257
2025-11,WEEKDAY,20,TRAIN,SW1,2902,2936
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,DT21,6576,4967
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,TE1,3594,3157
2025-11,WEEKDAY,6,TRAIN,EW7,17776,7064
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,TE29,1897,1797
2025-11,WEEKDAY,12,TRAIN,TE24,3744,2804
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,DT17,3833,3566
2025-11,WEEKDAY,12,TRAIN,NE5,11184,13839
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,TE29,2481,1425
2025-11,WEEKDAY,14,TRAIN,DT23,2984,3330
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,NS19,19690,18741
2025-11,WEEKDAY,8,TRAIN,CC8,23114,9026
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,SE5,1717,1142
2025-11,WEEKDAY,14,TRAIN,EW19,11532,13523
2025-11,WEEKDAY,22,TRAIN,NS21/DT11,37608,43286
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,BP9,1069,1023
2025-11,WEEKDAY,5,TRAIN,CG2,7929,916
2025-11,WEEKDAY,10,TRAIN,SE3,3624,1013
2025-11,WEEKDAY,17,TRAIN,CC8,11170,11636
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,BP3,2798,760
2025-11,WEEKDAY,15,TRAIN,NE13,21918,21059
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,TE19,3050,2142
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,EW19,2569,7512
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,BP9,1645,1870
2025-11,WEEKDAY,15,TRAIN,NE16/STC,36459,42107
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,NS11,25141,11002
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,CC19/DT9,2762,2101
2025-11,WEEKDAY,15,TRAIN,PE4,1242,1773
2025-11,WEEKDAY,12,TRAIN,CC14,8377,5396
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,TE15,6606,7317
2025-11,WEEKDAY,10,TRAIN,CC6,4071,7639
2025-11,WEEKDAY,20,TRAIN,NE12/CC13,51419,74994
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,CC17/TE9,3292,2263
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,PW3,201,842
2025-11,WEEKDAY,15,TRAIN,EW29,11323,4492
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,PE4,889,484
2025-11,WEEKDAY,23,TRAIN,CC3,3453,737
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,NE8,18446,24673
2025-11,WEEKDAY,18,TRAIN,EW14/NS26,339798,44433
2025-11,WEEKDAY,6,TRAIN,BP8,2989,2721
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,BP7,373,102
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,EW30,0,198
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,NS24/NE6/CC1,5885,17526
2025-11,WEEKDAY,9,TRAIN,DT10,7768,2638
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,NS17/CC15,10792,5132
2025-11,WEEKDAY,18,TRAIN,BP6/DT1,57371,129496
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,DT7,323,573
2025-11,WEEKDAY,16,TRAIN,DT6,13257,6038
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,DT27,4836,3687
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,9245,8009
2025-11,WEEKDAY,13,TRAIN,DT21,8998,9282
2025-11,WEEKDAY,9,TRAIN,BP3,6286,1592
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,SE1,2604,2040
2025-11,WEEKDAY,18,TRAIN,TE15,18562,24650
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,DT29,345,2771
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,SW7,9,197
2025-11,WEEKDAY,0,TRAIN,DT2,2,330
2025-11,WEEKDAY,23,TRAIN,EW7,1512,8193
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,PE6,5340,3756
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,DT8,2223,2695
2025-11,WEEKDAY,8,TRAIN,DT24,17678,12945
2025-11,WEEKDAY,10,TRAIN,CC25,5899,5255
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,SE4,754,1946
